pop_tot_unw,pop_workingage_unw,worker_PS_unw,worker_PS_m_unw,worker_PS_f_unw,worker_PS_rur_unw,worker_PS_urb_unw,labor_force_PS_unw,labor_force_PS_m_unw,labor_force_PS_f_unw,labor_force_PS_rur_unw,labor_force_PS_urb_unw,pop_m_unw,pop_f_unw,pop_rur_unw,pop_urb_unw,s_casual_w_lf_PS_unw,s_casual_w_lf_P_unw,s_casual_w_lf_PS_m_unw,s_casual_w_lf_P_m_unw,s_casual_w_lf_PS_f_unw,s_casual_w_lf_P_f_unw,s_casual_w_lf_PS_rur_unw,s_casual_w_lf_P_rur_unw,s_casual_w_lf_PS_urb_unw,s_casual_w_lf_P_urb_unw,data,time,state_name,lf_share_unw,worker_share_unw,lf_share_m_unw,worker_share_m_unw,lf_share_f_unw,worker_share_f_unw,lf_share_urb_unw,worker_share_urb_unw,lf_share_rur_unw,worker_share_rur_unw
10877,7836,3680,2535,1145,1768,1912,4039,2787,1252,1928,2111,3876,3958,3902,3934,.63604856,.63101739,.6225332,.61974865,.66613418,.65622491,.70902491,.70514822,.5693984,.56336021,PLFS_1920,July 2019 - June 2020,MANIPUR,.51544154,.46962735,.71904027,.65402478,.31632137,.28928751,.53660399,.48601931,.49410558,.45310098
6140,4854,2445,1607,837,886,1559,2611,1709,901,927,1684,2425,2426,1611,3243,.66679436,.66078281,.64248097,.63364595,.71254164,.71190214,.8176915,.80777538,.58372921,.57976192,PLFS_1920,July 2019 - June 2020,MIZORAM,.53790689,.5037083,.70474225,.66268039,.37139323,.34501237,.51927227,.48072773,.57541901,.54996896
7242,5681,2811,2159,652,1957,854,2960,2275,685,2055,905,2884,2796,3819,1862,.69831079,.68976003,.70901102,.70008796,.66277373,.65547442,.76836985,.76058394,.53922653,.52876109,PLFS_1920,July 2019 - June 2020,TRIPURA,.52103502,.49480724,.78883493,.74861306,.24499285,.23319027,.48603651,.45864663,.53809899,.51243782
6172,4219,2245,1354,891,1632,613,2353,1402,951,1670,683,2061,2158,2805,1414,.67403316,.65664488,.6883024,.68259627,.65299684,.61590147,.78502995,.76736975,.40263543,.39531478,PLFS_1920,July 2019 - June 2020,MEGHALAYA,.55771512,.53211659,.68025231,.65696263,.44068581,.4128823,.48302686,.43352193,.59536541,.58181816
14607,10904,4644,3901,742,3552,1092,5078,4179,898,3865,1213,5544,5358,8347,2557,.63706183,.62840772,.69107443,.68334132,.38530067,.36806342,.68305302,.67480522,.49051937,.4810231,PLFS_1920,July 2019 - June 2020,ASSAM,.46570066,.42589876,.75378788,.70364356,.16759986,.13848451,.47438404,.42706296,.46304062,.42554212
22055,17247,8406,6466,1938,4601,3805,8938,6889,2047,4876,4062,8678,8566,9351,7896,.66424257,.63576627,.67237628,.65399241,.63702983,.56183118,.80086136,.77145946,.50024617,.47472414,PLFS_1920,July 2019 - June 2020,WEST BENGAL,.51823503,.48738912,.79384649,.74510258,.23896801,.22624329,.51443768,.48188958,.52144158,.49203295
12509,8879,4480,3129,1351,3073,1407,4745,3361,1384,3175,1570,4431,4446,5426,3453,.76754481,.71911424,.72597444,.69544071,.86849713,.79699999,.88629919,.83581549,.52738851,.51008457,PLFS_1920,July 2019 - June 2020,JHARKHAND,.53440702,.50456131,.75851953,.70616114,.31129104,.30386865,.4546771,.40747178,.58514559,.56634724
15014,11328,5788,4112,1674,4467,1321,6275,4500,1768,4813,1462,5638,5681,8460,2868,.7505976,.71375716,.73066664,.7027691,.80373305,.75017112,.83108246,.79344696,.48563612,.46186143,PLFS_1920,July 2019 - June 2020,ORISSA,.55393714,.51094633,.79815537,.72933662,.31121281,.29466644,.50976288,.46059972,.56891251,.52801418
9856,7365,4494,2791,1703,3289,1205,4678,2933,1745,3360,1318,3676,3689,4866,2499,.77426249,.74193549,.73133308,.6997245,.84641832,.81750923,.90416664,.86755586,.44309559,.43087557,PLFS_1920,July 2019 - June 2020,CHATTISGARH,.63516635,.6101833,.79787815,.75924921,.47302791,.46164271,.52741098,.48219287,.69050556,.67591453
21251,15800,8595,6081,2512,5640,2955,8963,6392,2569,5767,3196,8133,7664,9455,6345,.76905054,.73272383,.74202126,.71451229,.83651227,.78723407,.90792441,.87385023,.51846057,.4898223,PLFS_1920,July 2019 - June 2020,MADHYA PRADESH,.5672785,.54398733,.78593385,.74769455,.33520356,.32776618,.50370371,.46572104,.60994184,.59650975
