pop_tot_unw,pop_workingage_unw,worker_PS_unw,worker_PS_m_unw,worker_PS_f_unw,worker_PS_rur_unw,worker_PS_urb_unw,labor_force_PS_unw,labor_force_PS_m_unw,labor_force_PS_f_unw,labor_force_PS_rur_unw,labor_force_PS_urb_unw,pop_m_unw,pop_f_unw,pop_rur_unw,pop_urb_unw,s_casual_w_worker_PS_unw,s_casual_w_worker_P_unw,s_casual_w_lf_PS_unw,s_casual_w_lf_P_unw,s_casual_w_worker_PS_m_unw,s_casual_w_worker_P_m_unw,s_casual_w_lf_PS_m_unw,s_casual_w_lf_P_m_unw,s_casual_w_worker_PS_f_unw,s_casual_w_worker_P_f_unw,s_casual_w_lf_PS_f_unw,s_casual_w_lf_P_f_unw,s_casual_w_worker_PS_rur_unw,s_casual_w_worker_P_rur_unw,s_casual_w_lf_PS_rur_unw,s_casual_w_lf_P_rur_unw,s_casual_w_worker_PS_urb_unw,s_casual_w_worker_P_urb_unw,s_casual_w_lf_PS_urb_unw,s_casual_w_lf_P_urb_unw,data,time,state_name,lf_share_unw,worker_share_unw,lf_share_m_unw,worker_share_m_unw,lf_share_f_unw,worker_share_f_unw,lf_share_urb_unw,worker_share_urb_unw,lf_share_rur_unw,worker_share_rur_unw
7009,4955,2752,1682,1070,984,1768,2826,1725,1101,997,1829,2498,2457,1646,3309,.74672967,.73183137,.72717625,.71266806,.68608797,.66765755,.66898549,.65101451,.8420561,.83271027,.81834698,.8092643,.87296748,.85365856,.86158478,.84252757,.67647058,.66402715,.65390927,.64188081,PLFS_2324,July 2023 - June 2024,MIZORAM,.570333,.55539858,.69055241,.67333865,.44810745,.43549043,.55273497,.53430039,.6057108,.59781289
7085,5470,3245,2091,1154,2358,887,3338,2152,1186,2413,925,2763,2707,3732,1738,.79476118,.76547545,.77261835,.74341494,.7723577,.74757755,.75046468,.72611767,.83535528,.80000001,.8128162,.77676952,.86089909,.83340657,.84127641,.81373394,.61894023,.58556461,.59351349,.56075805,PLFS_2324,July 2023 - June 2024,TRIPURA,.61023766,.59323585,.77886355,.75678611,.43812338,.42630216,.53222096,.51035672,.64657021,.63183278
6243,4298,2801,1525,1276,2093,708,3035,1610,1425,2208,827,2112,2186,2937,1361,.77722239,.72489256,.71729821,.65202111,.74754101,.72367537,.70807451,.68032789,.81269592,.72659177,.72771931,.61636221,.87434304,.81983912,.82880437,.75543481,.49011299,.46974063,.41958886,.39707673,PLFS_2324,July 2023 - June 2024,MEGHALAYA,.70614237,.65169847,.76231062,.72206438,.65187556,.58371454,.60764146,.52020574,.75178754,.71263194
15414,11324,6968,4487,2481,5642,1326,7342,4697,2645,5897,1445,5734,5590,8823,2501,.79047072,.6963746,.75020432,.64126736,.76420772,.7006647,.73004043,.65954691,.83796859,.68463951,.78601134,.5950954,.85147113,.75253594,.81465149,.69741482,.53092009,.47960848,.48719722,.43108505,PLFS_2324,July 2023 - June 2024,ASSAM,.64835745,.61533028,.81914896,.7825253,.47316638,.44382825,.57776892,.5301879,.66836679,.63946503
25031,19041,11119,7539,3580,6422,4697,11563,7782,3781,6627,4936,9409,9632,10389,8652,.72731358,.65426207,.699386,.62038803,.69279748,.65355396,.67116421,.62848943,.80000001,.6567961,.75747156,.59316087,.8554967,.78654915,.82903272,.75086886,.55205452,.4903869,.52532417,.46116072,PLFS_2324,July 2023 - June 2024,WEST BENGAL,.60726851,.5839504,.82708043,.80125409,.39254567,.37167773,.57050395,.54288024,.63788623,.61815381
12490,8804,5141,3279,1861,3713,1428,5255,3373,1881,3737,1518,4359,4443,5506,3298,.83758026,.74852073,.81941009,.72337383,.78956997,.72962487,.76756597,.70236611,.92208493,.80912864,.91228068,.79187816,.94424993,.85975832,.93818569,.84734756,.56022412,.51924527,.52700925,.48246846,PLFS_2324,July 2023 - June 2024,JHARKHAND,.59688777,.58393914,.77380133,.75223672,.42336258,.41886112,.46027896,.43298969,.67871416,.67435527
15682,11638,7229,4467,2762,5676,1553,7521,4644,2877,5858,1663,5576,6062,8576,3062,.79789734,.71360654,.76691931,.67093092,.7414372,.67283374,.71317828,.63379663,.8892107,.80874318,.85366702,.75703323,.87209302,.79009432,.8449983,.74776787,.52672249,.46518105,.49188215,.42820513,PLFS_2324,July 2023 - June 2024,ORISSA,.64624506,.62115484,.83285511,.80111194,.47459584,.45562521,.54310906,.50718486,.68306905,.661847
9605,7310,4997,2963,2034,3615,1382,5159,3067,2092,3664,1495,3682,3627,4795,2515,.80348212,.75579923,.77825159,.72815931,.75126559,.69577366,.72579068,.66890532,.87954772,.84725916,.8551625,.81893003,.93029046,.88075006,.91784936,.86528498,.47178003,.43491346,.43612039,.39917126,PLFS_2324,July 2023 - June 2024,CHATTISGARH,.70574558,.68358415,.83297122,.80472571,.57678521,.56079406,.59443343,.54950297,.76412928,.7539103
21458,15734,10293,6644,3649,7044,3249,10440,6759,3681,7090,3350,8008,7726,9567,6167,.82852423,.74642229,.81685823,.7280519,.7883805,.73417109,.77496672,.71583414,.90161687,.78965324,.89377886,.77123821,.94520158,.88332027,.93906909,.86919671,.5755617,.50174946,.55820894,.48185483,PLFS_2324,July 2023 - June 2024,MADHYA PRADESH,.66353118,.65418839,.84403098,.82967031,.47644317,.47230133,.5432139,.5268364,.74108917,.73628098
15604,11689,7394,4848,2546,4279,3115,7519,4940,2579,4317,3202,5987,5701,5988,5701,.66851503,.61668396,.65740126,.60388857,.59302807,.56294292,.5819838,.55055034,.81225449,.74884677,.80186117,.73564953,.84014958,.78473479,.83275425,.77610028,.43274477,.39147019,.42098689,.37835121,PLFS_2324,July 2023 - June 2024,GUJARAT,.64325434,.63256055,.8251211,.80975449,.45237678,.44658831,.56165588,.54639536,.7209419,.71459585
